estimated_preparation_time,rider_to_kitchen_km,kitchen_to_customer_km,total_distance_km,hour_of_day,day_of_week,actual_delivery_minutes
24,0.05,3.57,3.62,19,6,45
24,0.05,3.57,3.62,19,6,45
24,0.05,2.09,2.15,19,6,38
24,0.05,2.09,2.15,19,6,38
31,2.84,6.85,9.69,19,6,66
31,2.84,6.85,9.69,19,6,66
21,2.84,7.22,10.05,19,6,53
21,2.84,7.22,10.05,19,6,53
26,1.71,7.47,9.19,20,6,57
26,1.71,7.47,9.19,20,6,57
19,2.84,7.68,10.51,11,7,42
19,2.84,7.68,10.51,11,7,42
22,1.71,2.66,4.37,11,7,36
22,1.71,2.66,4.37,11,7,36
13,0.05,3.19,3.24,11,7,18
13,0.05,3.19,3.24,11,7,18
27,2.84,6.69,9.52,12,7,50
27,2.84,6.69,9.52,12,7,50
34,0.05,4.41,4.47,13,7,50
34,0.05,4.41,4.47,13,7,50
19,2.84,1.97,4.81,13,7,34
19,2.84,1.97,4.81,13,7,34
32,2.84,2.44,5.28,13,7,50
32,2.84,2.44,5.28,13,7,50
14,0.05,3.89,3.95,14,7,25
14,0.05,3.89,3.95,14,7,25
30,2.84,6.85,9.69,14,7,60
30,2.84,6.85,9.69,14,7,60
24,0.05,2.87,2.92,15,7,29
24,0.05,2.87,2.92,15,7,29
34,0.05,2.33,2.39,15,7,43
34,0.05,2.33,2.39,15,7,43
28,2.84,0.96,3.8,16,7,38
28,2.84,0.96,3.8,16,7,38
24,1.71,4.08,5.79,16,7,41
24,1.71,4.08,5.79,16,7,41
22,0.05,3.66,3.72,16,7,35
22,0.05,3.66,3.72,16,7,35
30,2.84,7.22,10.06,17,7,51
30,2.84,7.22,10.06,17,7,51
27,2.84,2.83,5.67,17,7,38
27,2.84,2.83,5.67,17,7,38
20,1.71,1.4,3.11,18,7,39
20,1.71,1.4,3.11,18,7,39
29,1.71,4.68,6.39,18,7,58
29,1.71,4.68,6.39,18,7,58
22,2.84,1.77,4.61,18,7,46
22,2.84,1.77,4.61,18,7,46
13,2.84,6.15,8.99,19,7,48
13,2.84,6.15,8.99,19,7,48
33,1.71,2.14,3.85,19,7,53
33,1.71,2.14,3.85,19,7,53
21,0.05,1.22,1.27,20,7,32
21,0.05,1.22,1.27,20,7,32
34,1.71,0.92,2.63,20,7,53
34,1.71,0.92,2.63,20,7,53
21,2.84,4.63,7.46,21,7,36
21,2.84,4.63,7.46,21,7,36
25,2.84,4.63,7.47,11,1,48
25,2.84,4.63,7.47,11,1,48
13,0.05,1.53,1.59,12,1,21
13,0.05,1.53,1.59,12,1,21
27,0.05,1.25,1.3,13,1,37
27,0.05,1.25,1.3,13,1,37
15,2.84,7.56,10.4,13,1,51
15,2.84,7.56,10.4,13,1,51
17,0.05,5.48,5.54,13,1,33
17,0.05,5.48,5.54,13,1,33
15,2.84,7.88,10.72,13,1,46
15,2.84,7.88,10.72,13,1,46
12,1.71,4.73,6.44,14,1,36
12,1.71,4.73,6.44,14,1,36
35,1.71,3.66,5.38,14,1,50
35,1.71,3.66,5.38,14,1,50
21,2.84,4.67,7.51,14,1,49
21,2.84,4.67,7.51,14,1,49
22,2.84,2.04,4.88,17,1,37
22,2.84,2.04,4.88,17,1,37
27,2.84,2.34,5.17,18,1,45
27,2.84,2.34,5.17,18,1,45
31,0.05,4.56,4.62,18,1,50
31,0.05,4.56,4.62,18,1,50
24,0.05,2.75,2.8,18,1,42
24,0.05,2.75,2.8,18,1,42
12,2.84,4.99,7.82,19,1,47
12,2.84,4.99,7.82,19,1,47
33,2.84,4.24,7.07,19,1,64
33,2.84,4.24,7.07,19,1,64
22,1.71,6.57,8.28,20,1,53
22,1.71,6.57,8.28,20,1,53
21,0.05,6.32,6.38,20,1,43
21,0.05,6.32,6.38,20,1,43
23,0.05,3.4,3.46,21,1,30
23,0.05,3.4,3.46,21,1,30
26,1.71,3.68,5.39,21,1,38
26,1.71,3.68,5.39,21,1,38
33,0.05,6.98,7.03,21,1,53
33,0.05,6.98,7.03,21,1,53
24,0.05,1.82,1.88,12,2,36
24,0.05,1.82,1.88,12,2,36
18,0.05,1.6,1.65,13,2,26
13,1.71,2.53,4.24,13,2,30
18,0.05,1.6,1.65,13,2,26
13,1.71,2.53,4.24,13,2,30
12,1.71,1.34,3.06,14,2,29
12,1.71,1.34,3.06,14,2,29
13,2.84,2.62,5.46,14,2,29
13,2.84,2.62,5.46,14,2,29
16,1.71,2.7,4.41,14,2,34
16,1.71,2.7,4.41,14,2,34
31,0.05,2.2,2.25,14,2,45
34,1.71,0.89,2.6,14,2,51
31,0.05,2.2,2.25,14,2,45
34,1.71,0.89,2.6,14,2,51
27,2.84,1.98,4.81,15,2,39
27,2.84,1.98,4.81,15,2,39
16,1.71,7.97,9.69,16,2,43
16,1.71,7.97,9.69,16,2,43
31,0.05,3.66,3.71,17,2,39
31,0.05,3.66,3.71,17,2,39
18,2.84,4.24,7.07,17,2,38
18,2.84,4.24,7.07,17,2,38
16,0.05,3.48,3.53,17,2,25
16,0.05,3.48,3.53,17,2,25
19,0.05,6.15,6.2,18,2,43
19,0.05,6.15,6.2,18,2,43
12,0.05,7.07,7.13,18,2,34
12,0.05,7.07,7.13,18,2,34
21,0.05,5.55,5.6,20,2,38
21,0.05,5.55,5.6,20,2,38
28,0.05,5.94,6.0,20,2,55
28,0.05,5.94,6.0,20,2,55
17,0.05,6.88,6.94,20,2,41
17,0.05,6.88,6.94,20,2,41
30,2.84,4.58,7.42,21,2,51
30,2.84,4.58,7.42,21,2,51
35,0.05,2.54,2.59,21,2,40
35,0.05,2.54,2.59,21,2,40
14,1.71,4.63,6.34,11,3,27
14,1.71,4.63,6.34,11,3,27
30,2.84,6.92,9.76,11,3,54
30,2.84,6.92,9.76,11,3,54
22,2.84,4.52,7.36,12,3,47
22,2.84,4.52,7.36,12,3,47
27,2.84,6.32,9.16,14,3,57
27,2.84,6.32,9.16,14,3,57
33,0.05,4.31,4.36,14,3,51
33,0.05,4.31,4.36,14,3,51
13,1.71,5.43,7.15,14,3,38
13,1.71,5.43,7.15,14,3,38
34,1.71,6.24,7.96,14,3,62
34,1.71,6.24,7.96,14,3,62
26,1.71,4.53,6.24,17,3,40
26,1.71,4.53,6.24,17,3,40
31,0.05,5.38,5.43,18,3,56
31,0.05,5.38,5.43,18,3,56
30,1.71,4.59,6.3,18,3,59
30,1.71,4.59,6.3,18,3,59
23,2.84,1.47,4.31,18,3,47
23,2.84,1.47,4.31,18,3,47
13,1.71,1.45,3.16,19,3,29
13,1.71,1.45,3.16,19,3,29
25,1.71,6.61,8.32,19,3,55
25,1.71,6.61,8.32,19,3,55
17,0.05,3.17,3.22,21,3,26
17,0.05,3.17,3.22,21,3,26
26,2.84,7.87,10.71,11,4,52
26,2.84,7.87,10.71,11,4,52
21,1.71,5.1,6.81,12,4,45
21,1.71,5.1,6.81,12,4,45
16,0.05,3.37,3.43,12,4,29
16,0.05,3.37,3.43,12,4,29
14,1.71,5.21,6.92,13,4,34
14,1.71,5.21,6.92,13,4,34
13,2.84,5.94,8.78,15,4,30
13,2.84,5.94,8.78,15,4,30
34,1.71,7.83,9.54,15,4,62
34,1.71,7.83,9.54,15,4,62
15,2.84,5.84,8.68,15,4,35
15,2.84,5.84,8.68,15,4,35
18,0.05,2.49,2.55,15,4,24
18,0.05,2.49,2.55,15,4,24
27,0.05,5.44,5.5,16,4,45
27,0.05,5.44,5.5,16,4,45
35,2.84,3.02,5.85,16,4,51
35,2.84,3.02,5.85,16,4,51
26,0.05,5.13,5.18,16,4,37
26,0.05,5.13,5.18,16,4,37
30,2.84,7.3,10.14,16,4,54
30,2.84,7.3,10.14,16,4,54
29,1.71,7.33,9.04,17,4,53
29,1.71,7.33,9.04,17,4,53
16,2.84,3.32,6.16,18,4,40
16,2.84,3.32,6.16,18,4,40
23,2.84,3.72,6.56,21,4,38
23,2.84,3.72,6.56,21,4,38
31,0.05,7.78,7.83,12,5,60
31,0.05,7.78,7.83,12,5,60
13,0.05,4.06,4.12,12,5,27
13,0.05,4.06,4.12,12,5,27
14,2.84,6.79,9.62,13,5,47
14,2.84,6.79,9.62,13,5,47
24,0.05,5.52,5.58,13,5,45
24,0.05,5.52,5.58,13,5,45
18,1.71,1.97,3.68,14,5,32
18,1.71,1.97,3.68,14,5,32
32,1.71,7.23,8.94,16,5,52
32,1.71,7.23,8.94,16,5,52
32,1.71,4.41,6.12,18,5,60
32,1.71,4.41,6.12,18,5,60
34,2.84,2.34,5.18,21,5,45
34,2.84,2.34,5.18,21,5,45
13,1.71,1.64,3.35,21,5,24
13,1.71,1.64,3.35,21,5,24
25,1.71,3.26,4.97,11,6,34
25,1.71,3.26,4.97,11,6,34
29,2.84,3.02,5.86,13,6,49
29,2.84,3.02,5.86,13,6,49
24,2.84,2.98,5.82,13,6,41
24,2.84,2.98,5.82,13,6,41
17,1.71,2.04,3.75,14,6,33
17,1.71,2.04,3.75,14,6,33
33,1.71,5.21,6.92,14,6,52
33,1.71,5.21,6.92,14,6,52
13,0.05,7.95,8.01,15,6,31
13,0.05,7.95,8.01,15,6,31
35,1.71,1.99,3.71,16,6,45
35,1.71,1.99,3.71,16,6,45
26,0.05,4.29,4.34,17,6,38
26,0.05,4.29,4.34,17,6,38
23,0.05,6.59,6.64,19,6,50
23,0.05,6.59,6.64,19,6,50
31,2.84,2.66,5.5,19,6,53
31,2.84,2.66,5.5,19,6,53
15,2.84,5.44,8.27,21,6,34
15,2.84,5.44,8.27,21,6,34
31,0.05,0.79,0.84,21,6,33
31,0.05,0.79,0.84,21,6,33
33,2.84,7.68,10.51,13,7,62
33,2.84,7.68,10.51,13,7,62
19,1.71,3.26,4.97,13,7,38
19,1.71,3.26,4.97,13,7,38
26,1.71,2.24,3.95,13,7,44
26,1.71,2.24,3.95,13,7,44
22,0.05,4.67,4.72,14,7,37
22,0.05,4.67,4.72,14,7,37
31,2.84,3.05,5.89,16,7,44
31,2.84,3.05,5.89,16,7,44
15,0.05,5.66,5.71,16,7,33
15,0.05,5.66,5.71,16,7,33
22,1.71,5.7,7.41,16,7,37
22,1.71,5.7,7.41,16,7,37
13,2.84,0.86,3.7,16,7,26
13,2.84,0.86,3.7,16,7,26
20,1.71,1.4,3.11,17,7,27
20,1.71,1.4,3.11,17,7,27
34,2.84,2.59,5.43,17,7,44
34,2.84,2.59,5.43,17,7,44
19,2.84,1.53,4.36,18,7,37
19,2.84,1.53,4.36,18,7,37
18,0.05,7.26,7.31,19,7,46
18,0.05,7.26,7.31,19,7,46
18,1.71,4.81,6.52,21,7,31
18,1.71,4.81,6.52,21,7,31
21,0.05,4.59,4.64,21,7,35
21,0.05,4.59,4.64,21,7,35
16,0.05,7.19,7.24,11,1,34
16,0.05,7.19,7.24,11,1,34
16,1.71,4.24,5.95,11,1,33
16,1.71,4.24,5.95,11,1,33
30,0.05,6.36,6.42,13,1,51
30,0.05,6.36,6.42,13,1,51
17,0.05,7.05,7.1,13,1,38
17,0.05,7.05,7.1,13,1,38
35,0.05,1.27,1.32,14,1,39
35,0.05,1.27,1.32,14,1,39
35,1.71,6.78,8.49,14,1,58
35,1.71,6.78,8.49,14,1,58
23,2.84,3.06,5.9,14,1,47
23,2.84,3.06,5.9,14,1,47
31,0.05,6.14,6.19,14,1,50
31,0.05,6.14,6.19,14,1,50
14,1.71,3.85,5.56,15,1,30
14,1.71,3.85,5.56,15,1,30
25,2.84,2.95,5.79,16,1,36
25,2.84,2.95,5.79,16,1,36
35,0.05,0.98,1.03,16,1,39
35,0.05,0.98,1.03,16,1,39
13,2.84,4.55,7.38,17,1,30
13,2.84,4.55,7.38,17,1,30
24,0.05,2.22,2.27,18,1,38
24,0.05,2.22,2.27,18,1,38
22,1.71,4.23,5.94,18,1,43
22,1.71,4.23,5.94,18,1,43
22,1.71,1.41,3.12,18,1,38
22,1.71,1.41,3.12,18,1,38
28,2.84,4.65,7.48,20,1,55
28,2.84,4.65,7.48,20,1,55
17,2.84,5.63,8.46,20,1,51
17,2.84,5.63,8.46,20,1,51
32,0.05,5.95,6.0,20,1,56
32,0.05,5.95,6.0,20,1,56
25,0.05,4.02,4.07,20,1,45
25,0.05,4.02,4.07,20,1,45
29,1.71,3.06,4.78,21,1,45
29,1.71,3.06,4.78,21,1,45
31,0.05,3.98,4.03,21,1,38
31,0.05,3.98,4.03,21,1,38
26,0.05,1.94,1.99,11,2,34
26,0.05,1.94,1.99,11,2,34
23,0.05,2.91,2.97,12,2,36
23,0.05,2.91,2.97,12,2,36
25,0.05,4.07,4.13,12,2,39
25,0.05,4.07,4.13,12,2,39
15,1.71,7.62,9.33,12,2,43
15,1.71,7.62,9.33,12,2,43
21,1.71,7.39,9.1,13,2,47
21,1.71,7.39,9.1,13,2,47
14,2.84,3.24,6.07,13,2,36
14,2.84,3.24,6.07,13,2,36
18,2.84,1.39,4.23,13,2,34
18,2.84,1.39,4.23,13,2,34
21,2.84,5.19,8.02,17,2,42
21,2.84,5.19,8.02,17,2,42
23,1.71,6.03,7.74,17,2,46
23,1.71,6.03,7.74,17,2,46
17,0.05,4.63,4.68,17,2,26
17,0.05,4.63,4.68,17,2,26
12,1.71,6.96,8.67,18,2,44
17,0.05,5.5,5.55,18,2,44
12,1.71,6.96,8.67,18,2,44
17,0.05,5.5,5.55,18,2,44
20,1.71,4.69,6.4,19,2,50
20,1.71,4.69,6.4,19,2,50
27,1.71,2.09,3.81,19,2,48
27,1.71,2.09,3.81,19,2,48
12,1.71,1.06,2.78,19,2,34
12,1.71,1.06,2.78,19,2,34
32,1.71,7.5,9.22,19,2,73
32,1.71,7.5,9.22,19,2,73
19,2.84,4.81,7.65,21,2,42
19,2.84,4.81,7.65,21,2,42
28,1.71,0.55,2.26,11,3,40
28,1.71,0.55,2.26,11,3,40
31,2.84,1.53,4.37,12,3,46
31,2.84,1.53,4.37,12,3,46
30,1.71,7.8,9.51,12,3,57
30,1.71,7.8,9.51,12,3,57
17,2.84,4.35,7.19,12,3,43
17,2.84,4.35,7.19,12,3,43
18,2.84,4.94,7.77,12,3,41
18,2.84,4.94,7.77,12,3,41
32,1.71,6.57,8.28,13,3,57
32,1.71,6.57,8.28,13,3,57
26,1.71,3.86,5.58,13,3,49
26,1.71,3.86,5.58,13,3,49
16,0.05,0.63,0.68,14,3,23
16,0.05,0.63,0.68,14,3,23
17,0.05,3.5,3.56,14,3,27
17,0.05,3.5,3.56,14,3,27
34,2.84,5.24,8.08,15,3,51
34,2.84,5.24,8.08,15,3,51
30,0.05,6.97,7.02,16,3,47
30,0.05,6.97,7.02,16,3,47
30,1.71,4.32,6.03,17,3,44
30,1.71,4.32,6.03,17,3,44
32,2.84,2.94,5.78,18,3,54
32,2.84,2.94,5.78,18,3,54
27,0.05,1.96,2.02,18,3,44
27,0.05,1.96,2.02,18,3,44
23,2.84,1.87,4.7,19,3,45
23,2.84,1.87,4.7,19,3,45
32,0.05,1.53,1.58,19,3,43
32,0.05,1.53,1.58,19,3,43
14,0.05,6.38,6.43,21,3,26
14,0.05,6.38,6.43,21,3,26
32,2.84,4.15,6.99,11,4,53
32,2.84,4.15,6.99,11,4,53
23,0.05,5.78,5.84,11,4,38
23,0.05,5.78,5.84,11,4,38
19,2.84,4.88,7.72,12,4,43
19,2.84,4.88,7.72,12,4,43
27,2.84,4.95,7.79,12,4,48
27,2.84,4.95,7.79,12,4,48
24,1.71,1.03,2.74,12,4,35
24,1.71,1.03,2.74,12,4,35
28,1.71,3.85,5.56,12,4,49
28,1.71,3.85,5.56,12,4,49
24,2.84,7.67,10.51,13,4,54
24,2.84,7.67,10.51,13,4,54
13,2.84,3.92,6.75,13,4,36
13,2.84,3.92,6.75,13,4,36
14,0.05,3.48,3.53,15,4,26
14,0.05,3.48,3.53,15,4,26
32,0.05,6.11,6.17,16,4,45
32,0.05,6.11,6.17,16,4,45
21,1.71,3.37,5.08,16,4,37
21,1.71,3.37,5.08,16,4,37
31,1.71,1.36,3.08,17,4,42
32,1.71,0.94,2.65,17,4,43
31,1.71,1.36,3.08,17,4,42
32,1.71,0.94,2.65,17,4,43
16,2.84,5.41,8.25,20,4,51
16,2.84,5.41,8.25,20,4,51
25,0.05,6.2,6.25,21,4,43
25,0.05,6.2,6.25,21,4,43
35,0.05,2.19,2.24,21,4,46
35,0.05,2.19,2.24,21,4,46
19,2.84,7.47,10.31,11,5,48
19,2.84,7.47,10.31,11,5,48
22,0.05,3.91,3.96,12,5,36
22,0.05,3.91,3.96,12,5,36
17,2.84,2.68,5.52,13,5,34
17,2.84,2.68,5.52,13,5,34
35,1.71,2.52,4.23,13,5,48
35,1.71,2.52,4.23,13,5,48
29,1.71,3.65,5.36,13,5,50
29,1.71,3.65,5.36,13,5,50
30,1.71,3.24,4.95,15,5,44
30,1.71,3.24,4.95,15,5,44
12,1.71,1.95,3.66,15,5,21
12,1.71,1.95,3.66,15,5,21
18,2.84,2.96,5.79,16,5,31
18,2.84,2.96,5.79,16,5,31
21,0.05,4.79,4.84,16,5,35
21,0.05,4.79,4.84,16,5,35
15,2.84,1.87,4.71,16,5,31
15,2.84,1.87,4.71,16,5,31
12,1.71,6.88,8.59,16,5,32
12,1.71,6.88,8.59,16,5,32
14,2.84,3.29,6.12,18,5,41
14,2.84,3.29,6.12,18,5,41
35,1.71,4.54,6.25,19,5,60
35,1.71,4.54,6.25,19,5,60
35,0.05,2.22,2.28,20,5,52
35,0.05,2.22,2.28,20,5,52
30,0.05,6.16,6.21,20,5,53
30,0.05,6.16,6.21,20,5,53
20,1.71,0.58,2.29,11,6,29
20,1.71,0.58,2.29,11,6,29
32,0.05,6.56,6.62,11,6,49
32,0.05,6.56,6.62,11,6,49
18,2.84,1.95,4.79,11,6,35
18,2.84,1.95,4.79,11,6,35
14,2.84,5.75,8.58,12,6,46
14,2.84,5.75,8.58,12,6,46
16,2.84,7.39,10.22,12,6,46
16,2.84,7.39,10.22,12,6,46
26,1.71,3.74,5.45,12,6,41
26,1.71,3.74,5.45,12,6,41
17,2.84,2.01,4.84,12,6,34
17,2.84,2.01,4.84,12,6,34
17,0.05,5.03,5.08,12,6,35
17,0.05,5.03,5.08,12,6,35
35,1.71,7.05,8.76,13,6,62
35,1.71,7.05,8.76,13,6,62
14,1.71,1.36,3.07,14,6,30
14,1.71,1.36,3.07,14,6,30
29,0.05,5.65,5.7,14,6,45
29,0.05,5.65,5.7,14,6,45
33,0.05,1.06,1.12,14,6,44
33,0.05,1.06,1.12,14,6,44
17,1.71,7.58,9.29,16,6,35
17,1.71,7.58,9.29,16,6,35
24,1.71,2.45,4.16,16,6,37
24,1.71,2.45,4.16,16,6,37
32,1.71,0.74,2.45,17,6,37
32,1.71,0.74,2.45,17,6,37
19,1.71,7.89,9.6,18,6,53
19,1.71,7.89,9.6,18,6,53
33,1.71,2.65,4.36,19,6,53
33,1.71,2.65,4.36,19,6,53
20,1.71,4.86,6.57,19,6,46
20,1.71,4.86,6.57,19,6,46
32,2.84,4.37,7.21,20,6,60
32,2.84,4.37,7.21,20,6,60
20,1.71,2.27,3.98,21,6,33
20,1.71,2.27,3.98,21,6,33
21,2.84,3.75,6.59,12,7,40
21,2.84,3.75,6.59,12,7,40
19,1.71,4.4,6.11,12,7,44
19,1.71,4.4,6.11,12,7,44
20,1.71,8.01,9.72,13,7,49
20,1.71,8.01,9.72,13,7,49
16,1.71,1.03,2.74,14,7,27
16,1.71,1.03,2.74,14,7,27
24,2.84,5.51,8.35,16,7,45
24,2.84,5.51,8.35,16,7,45
29,2.84,5.84,8.68,16,7,45
29,2.84,5.84,8.68,16,7,45
14,0.05,3.04,3.09,17,7,22
14,0.05,3.04,3.09,17,7,22
16,1.71,2.25,3.96,18,7,38
16,1.71,2.25,3.96,18,7,38
23,0.05,1.29,1.34,19,7,39
23,0.05,1.29,1.34,19,7,39
12,0.05,6.66,6.71,19,7,46
12,0.05,6.66,6.71,19,7,46
19,1.71,5.59,7.3,20,7,50
19,1.71,5.59,7.3,20,7,50
15,0.05,2.07,2.12,20,7,32
15,0.05,2.07,2.12,20,7,32
18,2.84,7.15,9.98,20,7,51
18,2.84,7.15,9.98,20,7,51
15,1.71,1.31,3.03,21,7,23
15,1.71,1.31,3.03,21,7,23
31,0.05,2.28,2.33,21,7,42
31,0.05,2.28,2.33,21,7,42
31,2.84,6.93,9.77,21,7,55
31,2.84,6.93,9.77,21,7,55
23,0.05,5.49,5.55,11,1,34
23,0.05,5.49,5.55,11,1,34
27,0.05,6.81,6.86,11,1,44
27,0.05,6.81,6.86,11,1,44
25,2.84,2.81,5.65,12,1,45
25,2.84,2.81,5.65,12,1,45
35,2.84,4.76,7.6,12,1,55
35,2.84,4.76,7.6,12,1,55
27,1.71,2.39,4.11,13,1,41
27,1.71,2.39,4.11,13,1,41
34,1.71,4.55,6.26,13,1,53
34,1.71,4.55,6.26,13,1,53
32,1.71,7.22,8.93,14,1,59
32,1.71,7.22,8.93,14,1,59
12,0.05,0.56,0.61,15,1,14
12,0.05,0.56,0.61,15,1,14
15,1.71,6.24,7.95,15,1,30
15,1.71,6.24,7.95,15,1,30
22,2.84,6.18,9.02,15,1,44
22,2.84,6.18,9.02,15,1,44
13,0.05,4.07,4.12,16,1,27
13,0.05,4.07,4.12,16,1,27
25,0.05,7.41,7.46,16,1,42
25,0.05,7.41,7.46,16,1,42
32,0.05,4.52,4.58,17,1,49
32,0.05,4.52,4.58,17,1,49
19,1.71,3.48,5.19,18,1,40
19,1.71,3.48,5.19,18,1,40
16,0.05,7.88,7.94,18,1,51
16,0.05,7.88,7.94,18,1,51
17,2.84,1.23,4.07,19,1,42
